fraction,seed,train_rows,water_mae,water_r2,nutrient_macro_r2,decision_accuracy,fit_seconds
0.1,11,2880,0.7520374933862434,0.9738747275277004,0.8515354482982573,0.8680555555555556,0.22682139999233186
0.1,23,2880,0.7561793121693123,0.9723637574706423,0.8410434610564522,0.8697222222222222,0.2324998999829404
0.1,37,2880,0.7854104431216935,0.974098978950411,0.8693495001052683,0.8608333333333333,0.24365050002234057
0.1,53,2880,0.764714556878307,0.9704983890691896,0.860981237214474,0.8691666666666666,0.2274609000014607
0.1,71,2880,0.7381924735449739,0.9741593183373808,0.8727839088884667,0.865,0.24159050002344884
0.25,11,7200,0.5243693320105824,0.9824134675386599,0.9141639622511217,0.9013888888888889,0.4323807000182569
0.25,23,7200,0.5302471825396827,0.9829344140766619,0.9177310362677554,0.8925,0.4372443999745883
0.25,37,7200,0.5324248082010581,0.9827976590344317,0.9230328203775894,0.8966666666666666,0.43489319999935105
0.25,53,7200,0.5284597354497356,0.9821675865612701,0.9174476036431768,0.8936111111111111,0.45631440001307055
0.25,71,7200,0.53940376984127,0.9807827042345523,0.9194181078067848,0.9002777777777777,0.4401077999791596
0.5,11,14400,0.38903987433862447,0.9873106939584656,0.9474866920446393,0.9308333333333333,0.796290800004499
0.5,23,14400,0.38829675264550273,0.9881069989877327,0.9502575875753961,0.9233333333333333,0.798628499993356
0.5,37,14400,0.41990530423280437,0.9862566655932824,0.9454895402356355,0.9122222222222223,0.8185727999953087
0.5,53,14400,0.3926663822751324,0.986680903688136,0.9461684709939965,0.9227777777777778,0.8168319000105839
0.5,71,14400,0.4049414484126986,0.9872832422693997,0.9482568023956169,0.9263888888888889,0.8142001999949571
0.75,11,21600,0.37311660185185197,0.9871113652330942,0.9561866655640769,0.9272222222222222,1.1583032999769785
0.75,23,21600,0.3617096494708997,0.988105467848467,0.9608518483222234,0.9386111111111111,1.163722700002836
0.75,37,21600,0.36049499338624336,0.9880795205084526,0.9619431056575155,0.9397222222222222,1.1882463000074495
0.75,53,21600,0.35469074074074075,0.988824098672822,0.9615987348843579,0.9338888888888889,1.189479399996344
0.75,71,21600,0.3695257605820107,0.9876645055562581,0.9614544384683813,0.9391666666666667,1.2145105999952648
1.0,11,28800,0.33627963624338625,0.9897742884346393,0.9666385171897666,0.9358333333333333,1.5564363000157755
1.0,23,28800,0.35267437169312177,0.9887978858810024,0.964541301326349,0.9308333333333333,1.5571455999743193
1.0,37,28800,0.35066584656084665,0.9888692204770054,0.9637385527820812,0.9311111111111111,1.5715145999856759
1.0,53,28800,0.32411572751322754,0.9901987255556992,0.9656007027027304,0.9394444444444444,1.6031077999796253
1.0,71,28800,0.3678807870370372,0.9872702865661824,0.9641927772819051,0.9286111111111112,1.6065265999932308
